#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.0%	1000	-1473827.2158588301	296006.0241031525	298.66772056929364	0
2.0%	2000	-1459014.7158588301	303181.42887300946	305.90764682845787	80.2
3.0%	3000	-1455908.173339676	302300.5655354762	305.0188627371502	80.2
4.0%	4000	-1457368.6110765971	304042.03177059925	306.77598829724127	80.2
5.0%	5000	-1458720.6110765971	303980.44402718625	306.71384675469704	74.1
6.0%	6000	-1459485.7779463008	303759.65655871877	306.49107395763235	75.1
7.0%	7000	-1463053.8310183147	304005.158708949	306.73878367173796	75.9
8.0%	8000	-1461946.995834292	302857.59962223703	305.5809056937972	76.4
9.0%	9000	-1463414.6518545644	303788.83586853754	306.5205156488201	76.8
10.0%	10000	-1461909.650794127	303855.9163960653	306.588199366785	75.6
11.0%	11000	-1459471.516527472	303343.10211162764	306.070773838462	76
12.0%	12000	-1463021.6267679855	304258.84380497	306.9947499129675	76.3
13.0%	13000	-1462843.5836161263	301849.35469500505	304.5635945931049	76.6
14.0%	14000	-1463893.0458694333	302010.8109786763	304.72650269729564	76.9
15.0%	15000	-1466062.444627799	303082.8381644505	305.8081695888178	75.6
16.0%	16000	-1464750.444627799	303642.33854091645	306.3727010121327	75.8
17.0%	17000	-1465772.6603068989	305940.23358616116	308.69125880956307	76.1
18.0%	18000	-1462688.2477628747	304411.44313335675	307.14872141982374	76.3
19.0%	19000	-1465684.424047362	303551.8685699376	306.2814175320276	76.5
20.0%	20000	-1465347.3694669167	303827.63026795816	306.5596588888299	75.1
21.0%	21000	-1466770.24501591	305937.5985467537	308.68860007578957	75.2
22.0%	22000	-1467635.3691990627	304638.76082291687	307.3780831579562	75.4
23.0%	23000	-1465778.5704639107	304277.3487471897	307.01342125227137	75.6
24.0%	24000	-1465487.2920952933	304848.67161177885	307.589881471934	75.8
25.0%	25000	-1467209.5735950982	303268.9640310321	305.99596910566663	75.4
